商品ID,商品名稱,商品連結,價格,留言,留言ID,留言者名稱,留言時間,商品 Type,留言 圖,isLike,isShowLike,留言 likeCount,留言 replyContent,留言 replyDate,留言星數,videoThumbnailImg,videoUrl
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",製造期是2024.5月 香味剛噴有點脂粉味花香 後調就很舒服的花香 特別喜歡  ,250103177424785,*玲*,2025/01/03,粉紅甜蜜,[],False,True,0,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999","好用
非常的香
好聞不刺鼻",241124239399655,*問,2024/11/24,粉紅甜蜜,[],False,True,1,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",不知道這些髒髒的屑屑是在那裡包進去的⋯⋯,241112810275630,*麗*,2024/11/13,綠色氣息,"['https://image.momo.dm/comments/24110997461319/7989212/001/1731501449.350877.jpg', 'https://image.momo.dm/comments/24110997461319/7989212/001/1731501449.4217029.jpg']",False,True,1,,,4,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",迷人的味道好聞,241112354685958,*明*,2024/11/12,黃色邂逅,[],False,True,1,,,4,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",到貨快速，朋友一直很想要這款味道，最後我幫他訂了，他也很開心送給女友。,241018898388331,*青,2024/11/04,粉紅甜蜜,[],False,True,0,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",包裝用心，品質很好，下次還會再購買，我是厭世網紅淡水美魔女 超推薦👍,241103761398374,*庭*,2024/11/03,綠色氣息,[],False,True,0,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999","這是老公送的生日禮物.原本很期待.因為是香奈兒大品牌.連小孩都覺得香味真的不持久⋯
大概2-3小時🙄️",241102054114755,*旻*,2024/11/02,粉紅甜蜜,['https://image.momo.dm/comments/24102996901047/7989212/002/1730535899.047388.jpg'],False,True,1,,,3,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",好香，我喜歡味道,241017881594251,*氏**,2024/10/19,綠色氣息,[],False,True,0,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",香味很喜歡,240828617002863,*艾*,2024/08/28,綠色氣息,[],False,True,0,,,5,,
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",喜歡這個香味很久了，終於用優惠價買到，開心，快速送達,240811540949329,*玉*,2024/08/14,綠色氣息,[],False,True,0,,,5,,
