商品ID,商品名稱,商品連結,價格,留言,留言ID,留言者名稱,留言時間,商品 Type,留言 圖,isLike,isShowLike,留言 likeCount,留言 replyContent,留言 replyDate,留言星數,videoThumbnailImg,videoUrl
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,這是第三ㄓ了，吸力強。好用。,250120870507275,*婉*,2025/02/04,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,輕巧好用、出貨快速，滿意！,250120308997174,*詩*,2025/02/03,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,吸力很不錯! 不過會有點吵。,250123226128916,*靜*,2025/02/01,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,兒子說好用，就再買一支。,250120591108105,*世*,2025/01/30,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,出貨快速，包裝完好。精巧實用，操作方便。,250121878052569,*貴*,2025/01/29,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,第一次購買的商品，好看買來送人，希望好用,250117223386687,*惠*,2025/01/26,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,出貨速度快，特價優惠方案很划算,250120199985050,*紫*,2025/01/26,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,幫家人購買的，還沒充電使用，看起來應該是不錯的商品,250122899414628,*淑*,2025/01/25,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,吸辦公桌車內很好用特價購入很優惠,250120631570119,*培*,2025/01/25,無,[],False,True,0,,,5,,
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,吸力很強，很好清潔，濾部可水洗。不知道濾網去哪買,250115145893488,*堉*,2025/01/24,無,[],False,True,0,,,5,,
