商品ID,商品名稱,商品連結,價格,資料已完整爬取
13384683,【小米官方旗艦館】Xiaomi 米家無線吸塵器 mini,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13384683&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%B0%8F%E7%B1%B3,995,True
13404437,【小米】官方旗艦館 小米手環 9 Pro,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13404437&Area=search&mdiv=403&oid=0_2&cid=index&kw=%E5%B0%8F%E7%B1%B3,"1,799",True
13326964,【小米】官方旗艦館 Redmi Watch 5 Active,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=0_8&cid=index&kw=%E5%B0%8F%E7%B1%B3,795,True
13150545,【小米官方旗艦館】Xiaomi手持掛燙機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13150545&Area=search&mdiv=403&oid=0_9&cid=index&kw=%E5%B0%8F%E7%B1%B3,595,True
13175376,【小米官方旗艦館】小米電水壺 2 白色,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13175376&Area=search&mdiv=403&oid=0_10&cid=index&kw=%E5%B0%8F%E7%B1%B3,525,True
10837017,【小米】官方旗艦館 Xiaomi K歌麥克風,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10837017&Area=search&mdiv=403&oid=0_11&cid=index&kw=%E5%B0%8F%E7%B1%B3,"1,495",True
13313523,【小米】官方旗艦館 Redmi Watch 5 Lite,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13313523&Area=search&mdiv=403&oid=0_13&cid=index&kw=%E5%B0%8F%E7%B1%B3,"1,295",True
13284047,【小米】官方旗艦館 Xiaomi 小米手環 9 NFC,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13284047&Area=search&mdiv=403&oid=0_14&cid=index&kw=%E5%B0%8F%E7%B1%B3,"1,095",True
13175375,【小米官方旗艦館】米家恆溫電水壺 1S,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13175375&Area=search&mdiv=403&oid=0_16&cid=index&kw=%E5%B0%8F%E7%B1%B3,665,True
13150543,【小米官方旗艦館】小米負離子吹風機 H300 白色,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13150543&Area=search&mdiv=403&oid=0_17&cid=index&kw=%E5%B0%8F%E7%B1%B3,595,True
