商品ID,商品名稱,商品連結,價格,留言,留言ID,留言者名稱,留言時間,商品 Type,留言 圖,isLike,isShowLike,留言 likeCount,留言 replyContent,留言 replyDate,留言星數,videoThumbnailImg,videoUrl
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",公司摸彩商品，輕巧方便使用,250108485048029,*美*,2025/01/11,霧灰色,[],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",因為孩子有買試用後覺得很不錯，已使用過1次，頭髮較不毛躁，其他工具還要在熟悉操作，目前為止很滿意,250109584415808,*維*,2025/01/10,鈦金色,[],False,True,0,,,4.7,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",原本打算年前要預約設計師縮毛矯正，剛好滑到雙12優惠，想說也觀望這支快一年了，趁年底犒賞辛苦的自己，使用後我相當驚艷，我的毛燥頭髮變得相當順亮，讓我省下縮毛矯正的花費,241215896151278,*佳*,2024/12/29,霧灰色,['https://image.momo.dm/comments/24121200214816/12855075/004/image_6984636584061352754.jpg'],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",產品質感非常漂亮，很輕巧，攜帶方便，，非常值得購買的商品，之前買m牌，用不到1年，就壞了😅,241225056784890,*昭*,2024/12/26,霧灰色,"['https://image.momo.dm/comments/24122095463717/12855075/004/1735224180.746382.jpg', 'https://image.momo.dm/comments/24122095463717/12855075/004/1735224201.9631991.jpg']",False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",因為輕便方便攜帶買的，小孩用也很輕鬆,241217847732213,*羿*,2024/12/23,鈦金色,[],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",很輕，第一次使用效果挺滿意的，配件使用技巧自己仍要多練習。,241219664620048,*小*,2024/12/19,鈦金色,['https://image.momo.dm/comments/24121799040523/12855075/003/1734563150.416517.jpg'],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",是我買過最輕的吹風機， 讚,241218417253887,*惠*,2024/12/18,霧灰色,[],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",好用 看著網評都很好 所以 買了 還真不錯,241218021309827,*奕*,2024/12/18,霧灰色,[],False,True,0,,,5,,
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",輕巧好攜帶 音量低 推推推,241217274443089,*巧*,2024/12/17,鈦金色,['https://image.momo.dm/comments/24121299783684/12855075/003/1734432196.203377.jpg'],False,True,2,,,5,https://image.momo.dm/comments/24121299783684/12855075/003/video_720p_00001.png,https://image.momo.dm/comments/24121299783684/12855075/003/video_720p.mp4
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",整體重量輕、風速大，吹完頭髮不會毛躁~,241207256658581,*沛*,2024/12/09,霧灰色,[],False,True,0,,,5,,
