商品ID,商品名稱,商品連結,價格,資料已完整爬取
11977069,【小不記】可折疊式 強力 控溫 速乾 護髮(負離子吹風機),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11977069&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,584,True
12896498,【MIDORI 美多莉】Hypersonic 國際全電壓 高速負離子吹風機-全配組(三色任選),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12896498&Area=search&mdiv=403&oid=0_2&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"2,399",True
12244096,【ZERO | 零式】AERIAL+ 柔潤修護負離子吹風機(2024新品 / 5000萬修護離子 / 13.5m/s 高速快乾 / 50C水潤),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12244096&Area=search&mdiv=403&oid=0_3&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,831,True
10153680,【Philips 飛利浦】智能護髮礦物負離子吹風機-玫瑰粉霧(BHD538/01),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10153680&Area=search&mdiv=403&oid=0_6&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"2,388",True
12749140,【dyson 戴森】HD08 Origin Supersonic 吹風機 溫控 負離子(瑰麗紅色 平裝版),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12749140&Area=search&mdiv=403&oid=0_7&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"8,888",True
9360000,【SOLAC】專業負離子吹風機  白/紫/灰/粉 色(SD-1000),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9360000&Area=search&mdiv=403&oid=0_8&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"3,980",True
12725086,【dyson 戴森】HD16 Supersonic Nural™ 全新一代 吹風機 溫控 負離子(粉霧玫瑰禮盒版 獨家特談),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12725086&Area=search&mdiv=403&oid=0_12&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"12,900",True
9437350,【SALONIA】日本銷售第一 負離子吹風機 SL-013(可折疊),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9437350&Area=search&mdiv=403&oid=0_13&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"1,840",True
9723946,【Philips 飛利浦】沙龍級護髮負離子吹風機-霧藍黑(BHD518/01),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9723946&Area=search&mdiv=403&oid=0_15&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"1,488",True
12710730,【Laifen 徠芬】徠芬SE 高速負離子吹風機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12710730&Area=search&mdiv=403&oid=0_16&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"2,990",True
9925967,【Panasonic 國際牌】奈米水離子吹風機(EH-NA27-W),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9925967&Area=search&mdiv=403&oid=0_17&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"1,599",True
10567753,【Panasonic 國際牌】奈米水離子吹風機-搭載捲髮定型烘罩(EH-NA9L-RP),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10567753&Area=search&mdiv=403&oid=0_18&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,399",True
11280148,【MIDORI 美多莉】Hypersonic高速負離子吹風機-霧夜金(全配組-不含收納架),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11280148&Area=search&mdiv=403&oid=0_19&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"1,999",True
12507373,【dyson 戴森】HD15 Supersonic 全新一代 吹風機 溫控 負離子(普魯士藍限定禮盒版),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12507373&Area=search&mdiv=403&oid=0_20&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"10,888",True
9917638,【Panasonic 國際牌】負離子吹風機 EH-NE21-K(公司貨),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9917638&Area=search&mdiv=403&oid=0_22&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,899,True
11674676,【dyson 戴森】HD16 Supersonic Nural™ 全新一代 吹風機 溫控 負離子(珊瑚莓特別版 精美禮盒),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11674676&Area=search&mdiv=403&oid=0_23&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"14,600",True
11520876,【Dreame 追覓科技】Glory三億鉑金負離子高速吹風機(57度恆溫/護髮/冷熱風循環/2分鐘快乾),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11520876&Area=search&mdiv=403&oid=0_26&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"3,680",True
12855075,【Dreame 追覓科技】Pocket 魔術折疊高速吹風機(直捲吹三用/180度折疊/300g超輕量/11萬轉航太級馬達),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12855075&Area=search&mdiv=403&oid=0_27&cid=index&kw=%E5%90%B9%E9%A2%A8%E6%A9%9F,"4,588",True
