商品ID,商品名稱,商品連結,價格,資料已完整爬取
12019044,【TOZO】OpenBuds降噪開放式AI輔助氣傳導無線藍芽耳機(chatGPT/智慧錄音/ENC通話降噪/耳掛式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12019044&Area=search&mdiv=403&oid=0_1&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,695",True
11115416,【DA】Air Pro 6無感配戴夾耳式藍芽耳機(HiFi音質/超長續航30小時/夾式耳機/氣傳導/無線),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115416&Area=search&mdiv=403&oid=0_2&cid=index&kw=%E8%80%B3%E6%A9%9F,981,True
11700821,【Havit 海威特】環繞立體音高續航耳罩式藍芽耳機H630BT(55H高續航/高回彈氣墊/4種聆聽模式/舒適配戴),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11700821&Area=search&mdiv=403&oid=0_3&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,475",True
11689064,【Soundcore】Liberty 4 NC 主動降噪真無線藍芽耳機(頂級降噪 至臻完美),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11689064&Area=search&mdiv=403&oid=0_5&cid=index&kw=%E8%80%B3%E6%A9%9F,"3,490",True
12797351,【Marshall】Minor IV 真無線藍芽耳機 第四代(經典黑),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12797351&Area=search&mdiv=403&oid=0_7&cid=index&kw=%E8%80%B3%E6%A9%9F,"3,990",True
13215807,【Marshall】Major IV藍牙耳罩式耳機(公司貨 經典黑/復古棕),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13215807&Area=search&mdiv=403&oid=0_8&cid=index&kw=%E8%80%B3%E6%A9%9F,"4,490",True
11700821,【Havit 海威特】環繞立體音高續航耳罩式藍芽耳機H630BT(55H高續航/高回彈氣墊/4種聆聽模式/舒適配戴),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11700821&Area=search&mdiv=403&oid=0_10&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,475",True
10336885,【SONY 索尼】WI-C100 無線頸掛入耳式藍芽耳機(公司貨),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10336885&Area=search&mdiv=403&oid=0_12&cid=index&kw=%E8%80%B3%E6%A9%9F,790,True
11766281,【小米】Redmi Buds4 lite 降噪無線藍芽耳機(半入耳式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11766281&Area=search&mdiv=403&oid=0_13&cid=index&kw=%E8%80%B3%E6%A9%9F,628,True
10915274,【NOKIA】E3100 Plus 超輕入耳式 真無線藍牙耳機(藍牙5.2/ENC降噪),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10915274&Area=search&mdiv=403&oid=0_14&cid=index&kw=%E8%80%B3%E6%A9%9F,665,True
10521994,【audio-technica 鐵三角】ATH-CK350x(耳塞式耳機),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10521994&Area=search&mdiv=403&oid=0_15&cid=index&kw=%E8%80%B3%E6%A9%9F,580,True
10129367,【JLab】Go Sport+真無線藍牙耳機(Type-C 專屬APP 快速連線 續航力強),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10129367&Area=search&mdiv=403&oid=0_19&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,099",True
11115416,【DA】Air Pro 6無感配戴夾耳式藍芽耳機(HiFi音質/超長續航30小時/夾式耳機/氣傳導/無線),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115416&Area=search&mdiv=403&oid=0_20&cid=index&kw=%E8%80%B3%E6%A9%9F,981,True
11323699,【Soundcore】A20i 真無線藍芽耳機(輕盈享樂 音樂無限),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11323699&Area=search&mdiv=403&oid=0_21&cid=index&kw=%E8%80%B3%E6%A9%9F,990,True
10128941,【JLab】Go TONES+真無線藍牙耳機(Type-C 專屬APP 快速連線 續航力強),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10128941&Area=search&mdiv=403&oid=0_22&cid=index&kw=%E8%80%B3%E6%A9%9F,799,True
10498184,【audio-technica 鐵三角】ATH-CK350X(耳道式耳機),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10498184&Area=search&mdiv=403&oid=0_23&cid=index&kw=%E8%80%B3%E6%A9%9F,580,True
4604532,【SONY】多彩耳塞式耳機(MDR-E9LP),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4604532&Area=search&mdiv=403&oid=0_25&cid=index&kw=%E8%80%B3%E6%A9%9F,320,True
10222119,【Philips 飛利浦】SHE3555 入耳式有線耳機(高效驅動器/4色可選),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10222119&Area=search&mdiv=403&oid=0_26&cid=index&kw=%E8%80%B3%E6%A9%9F,179,True
13671062,真無線1+1組【Soundcore】Liberty 4 +Liberty 4 NC主動降噪真無線藍芽耳機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13671062&Area=search&mdiv=403&oid=0_29&cid=index&kw=%E8%80%B3%E6%A9%9F,"4,990",False
12019044,【TOZO】OpenBuds降噪開放式AI輔助氣傳導無線藍芽耳機(chatGPT/智慧錄音/ENC通話降噪/耳掛式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12019044&Area=search&mdiv=403&oid=0_30&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,695",True
12019044,【TOZO】OpenBuds降噪開放式AI輔助氣傳導無線藍芽耳機(chatGPT/智慧錄音/ENC通話降噪/耳掛式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12019044&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,695",True
11115416,【DA】Air Pro 6無感配戴夾耳式藍芽耳機(HiFi音質/超長續航30小時/夾式耳機/氣傳導/無線),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115416&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E8%80%B3%E6%A9%9F,981,True
11700821,【Havit 海威特】環繞立體音高續航耳罩式藍芽耳機H630BT(55H高續航/高回彈氣墊/4種聆聽模式/舒適配戴),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11700821&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,475",True
11689064,【Soundcore】Liberty 4 NC 主動降噪真無線藍芽耳機(頂級降噪 至臻完美),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11689064&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E8%80%B3%E6%A9%9F,"3,490",True
10960675,【Logitech 羅技】H390 USB耳機麥克風,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10960675&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,290",True
12797351,【Marshall】Minor IV 真無線藍芽耳機 第四代(經典黑),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12797351&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E8%80%B3%E6%A9%9F,"3,990",True
13215807,【Marshall】Major IV藍牙耳罩式耳機(公司貨 經典黑/復古棕),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13215807&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E8%80%B3%E6%A9%9F,"4,490",True
11700821,【Havit 海威特】環繞立體音高續航耳罩式藍芽耳機H630BT(55H高續航/高回彈氣墊/4種聆聽模式/舒適配戴),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11700821&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,475",True
10336885,【SONY 索尼】WI-C100 無線頸掛入耳式藍芽耳機(公司貨),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10336885&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E8%80%B3%E6%A9%9F,790,True
11766281,【小米】Redmi Buds4 lite 降噪無線藍芽耳機(半入耳式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11766281&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E8%80%B3%E6%A9%9F,628,True
10915274,【NOKIA】E3100 Plus 超輕入耳式 真無線藍牙耳機(藍牙5.2/ENC降噪),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10915274&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E8%80%B3%E6%A9%9F,665,True
10521994,【audio-technica 鐵三角】ATH-CK350x(耳塞式耳機),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10521994&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E8%80%B3%E6%A9%9F,580,True
10129367,【JLab】Go Sport+真無線藍牙耳機(Type-C 專屬APP 快速連線 續航力強),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10129367&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,099",True
11115416,【DA】Air Pro 6無感配戴夾耳式藍芽耳機(HiFi音質/超長續航30小時/夾式耳機/氣傳導/無線),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115416&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E8%80%B3%E6%A9%9F,981,True
11323699,【Soundcore】A20i 真無線藍芽耳機(輕盈享樂 音樂無限),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11323699&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E8%80%B3%E6%A9%9F,990,True
10128941,【JLab】Go TONES+真無線藍牙耳機(Type-C 專屬APP 快速連線 續航力強),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10128941&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E8%80%B3%E6%A9%9F,799,True
10498184,【audio-technica 鐵三角】ATH-CK350X(耳道式耳機),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10498184&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E8%80%B3%E6%A9%9F,580,True
4604532,【SONY】多彩耳塞式耳機(MDR-E9LP),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4604532&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E8%80%B3%E6%A9%9F,320,True
10222119,【Philips 飛利浦】SHE3555 入耳式有線耳機(高效驅動器/4色可選),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10222119&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E8%80%B3%E6%A9%9F,179,True
13671062,真無線1+1組【Soundcore】Liberty 4 +Liberty 4 NC主動降噪真無線藍芽耳機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13671062&Area=search&mdiv=403&oid=1_29&cid=index&kw=%E8%80%B3%E6%A9%9F,"4,990",False
12019044,【TOZO】OpenBuds降噪開放式AI輔助氣傳導無線藍芽耳機(chatGPT/智慧錄音/ENC通話降噪/耳掛式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12019044&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,695",True
8979681,【ifive】UHF無線麥克風-鋰電池K歌版 if- U968,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8979681&Area=search&mdiv=403&oid=2_6&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,436",False
12638329,【SONY 索尼】WH-CH520 無線藍芽耳罩式耳機(公司貨保固12個月),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12638329&Area=search&mdiv=403&oid=2_7&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,590",False
11115166,【SONY 索尼】WH-CH520 無線藍牙耳罩式耳機(公司貨 保固12個月),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115166&Area=search&mdiv=403&oid=2_8&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,590",False
11594932,【OPPO】Enco Buds2 真無線藍牙耳機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11594932&Area=search&mdiv=403&oid=2_9&cid=index&kw=%E8%80%B3%E6%A9%9F,754,False
10341992,【SONY 索尼】藍牙耳道式耳機(WI-C100),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10341992&Area=search&mdiv=403&oid=2_10&cid=index&kw=%E8%80%B3%E6%A9%9F,790,False
10878869,【NOKIA】E3110無線藍芽耳機 黑/白/紫/粉/綠(半入耳式 HIFI音效 藍牙5.1),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10878869&Area=search&mdiv=403&oid=2_12&cid=index&kw=%E8%80%B3%E6%A9%9F,704,False
9393764,【Marshall】Minor III真無線藍芽耳機(經典黑),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9393764&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E8%80%B3%E6%A9%9F,"2,990",False
5914844,【audio-technica 鐵三角】ATH-C200IS 智慧型手機用耳塞式耳機,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=5914844&Area=search&mdiv=403&oid=2_21&cid=index&kw=%E8%80%B3%E6%A9%9F,620,False
11689064,【Soundcore】Liberty 4 NC 主動降噪真無線藍芽耳機(頂級降噪 至臻完美),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11689064&Area=search&mdiv=403&oid=2_24&cid=index&kw=%E8%80%B3%E6%A9%9F,"3,490",False
10649991,【Soundcore】Space A40 主動降噪真無線藍芽耳機(續航王者 靜顯聲色),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10649991&Area=search&mdiv=403&oid=2_25&cid=index&kw=%E8%80%B3%E6%A9%9F,"2,190",False
12019044,【TOZO】OpenBuds降噪開放式AI輔助氣傳導無線藍芽耳機(chatGPT/智慧錄音/ENC通話降噪/耳掛式),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12019044&Area=search&mdiv=403&oid=3_1&cid=index&kw=%E8%80%B3%E6%A9%9F,"1,695",False
11115416,【DA】Air Pro 6無感配戴夾耳式藍芽耳機(HiFi音質/超長續航30小時/夾式耳機/氣傳導/無線),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11115416&Area=search&mdiv=403&oid=3_2&cid=index&kw=%E8%80%B3%E6%A9%9F,981,False
